Samplenumber,Date,Day,Transit,Donor,Vessel,Ninetransit,Transitnumber,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate,Isocaproate,Caproate,Heptanoate,Octanoic acid,O2 ,N2 ,H2,CO2,CH4,NH4+,Lactate,Intact_cells_events.ml,SD_intact_cells,log_intact,log_SD_intact,Damaged_cells_events.ml,SD_Damaged_cells,log_damaged,log_SD_damaged,Total_cells_events.ml,SD_total_cells,log_total,log_SD_total,Ratio_cells,SD_ratio,Percentage_intact_cells,SD_percentage_intact
20,6/09/2019,4,ST,1,D,2,8,35.33667705,6.794921456,0.692564574,5.703669843,0.86470088,1.00611154,0,0.24419835,0,0,0,0,0,0,0,7.559177338,0,1582472527,328610393.1,9.194603152,0.090840641,1346263736,308640454.4,9.123347327,0.100451258,2928736264,637250847.5,9.461478193,0.09525263,1.178444115,0.026075971,54.09238921,0.549513992
21,6/09/2019,4,MT,1,P,2,9,33.11713666,7.238626437,0.398021352,10.70033498,1.01594423,0,0,0,0,0,0,0,0,0,0,4.089749986,0,668131868.1,5764781.12,8.824851423,0.003743674,1300769231,18493235.48,9.114170896,0.006189971,1968901099,23997594.78,9.294202356,0.005300756,0.513673589,0.003501275,33.93532333,0.152626952
22,6/09/2019,4,MT,1,D,,,61.85098086,12.19688342,1.166962232,10.36814947,1.561491743,2.108299219,0,0.668164481,0.192905938,0,,,,,,,,,,,,,,,,,,,,,,,
23,6/09/2019,4,LT,1,P,,,62.69888129,7.556744663,0.247328895,21.40754196,0.220697914,0.214389004,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
24,6/09/2019,4,LT,1,D,,,63.63911499,9.85880624,1.21924073,11.59131167,1.64237615,3.456624938,0,2.855232653,0.866868003,0.266618393,,,,,,,,,,,,,,,,,,,,,,,
25,7/09/2019,5,ST,1,P,,,13.87951228,3.62268555,0.413236827,4.348454138,0.632988628,0,0,0,0,0,,,,,,,,1094522059,37799016.91,9.03909499,0.015001222,393947610.3,64023059.76,8.592551756,0.070893275,1488469669,101822076.7,9.172231319,0.029732083,2.807624547,0.360336485,73.61877282,2.496600849
26,7/09/2019,5,ST,1,D,,,20.80010127,5.050772852,0.567759614,4.989343818,0.72894334,0.831512311,0,0.224650282,0,0,,,,,,,,1374838983,628138534,9.114316066,0.205791597,1126121469,525444257.7,9.026559154,0.210514188,2500960452,1153582792,9.373683627,0.207915131,1.223967116,0.013309363,55.03450118,0.269096661
27,7/09/2019,5,MT,1,P,,,21.41133243,6.73123919,0.437997474,8.283934795,0.991143083,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
28,7/09/2019,5,MT,1,D,,,36.70880745,9.477258621,1.022718861,10.42461646,1.462088006,1.848659745,0,0.456741468,0.141486104,0,,,,,,,,,,,,,,,,,,,,,,,
29,7/09/2019,5,LT,1,P,,,38.72869162,6.538511221,0.23471404,17.20095052,0.448050035,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
30,7/09/2019,5,LT,1,D,,,48.40016935,9.232660646,1.268395362,13.45011617,1.929464649,3.216376743,0,2.518150586,0.727270574,0.25284198,,,,,,,,,,,,,,,,,,,,,,,
31,8/09/2019,6,ST,1,P,3,,16.18768264,4.113847291,0.461495351,4.051221215,0.622967665,0,0,0,0,0,,,,,,,,1432062033,39451620.34,9.155851375,0.012012231,450190963.8,9067921.764,8.653338078,0.008743481,1882252997,34137916.04,9.274630408,0.007872958,3.182637295,0.137224921,76.07413921,0.800120717
32,8/09/2019,6,ST,1,D,3,13,24.79734022,5.722335249,0.570398117,5.033111468,0.717162069,0.579352912,0,0.136695614,0,0,0,0,0,0,0,5.580686291,0,1078625242,608153808.1,8.963541791,0.329809168,919635307.8,516451152.3,8.897419574,0.319918342,1998260550,1123392027,9.232850338,0.325129561,1.165352106,0.05653876,53.79743816,1.188959557
33,8/09/2019,6,MT,1,P,,,24.41313802,10.04856979,0.5120962,8.005848697,1.108058143,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
34,8/09/2019,6,MT,1,D,2,12,53.43498865,13.15538451,1.096981518,11.63306624,1.463334718,1.69545575,0,0.298667998,0,0,0,0,0,0,0,12.70580409,0,2369963675,706017045.2,9.362770161,0.12247205,2511440171,839194162.2,9.385038244,0.136046804,4881403846,1544678978,9.675125167,0.129400825,0.950439829,0.034589578,48.71872507,0.91250557
35,8/09/2019,6,LT,1,P,2,11,48.95410872,11.1618462,1.031597291,19.01364918,1.971680807,0,0,0,0,0,0,0,0,0,0,9.635511946,0,1197940490,223457261.2,9.073675957,0.077566646,1325484457,217287473.1,9.118650721,0.068861712,2523424947,440102681.8,9.397804845,0.072863765,0.901869351,0.025731767,47.41371568,0.71367379
36,8/09/2019,6,LT,1,D,,,63.93954412,11.93920799,1.375498106,16.25173436,2.053780876,3.027515475,0,1.974199218,0.575251839,0.21932784,,,,,,,,,,,,,,,,,,,,,,,
37,9/09/2019,7,ST,1,P,3,,19.36332701,4.82591954,0.487347262,3.957156928,0.641929398,0,0,0,0,0,,,,,,,,1262807018,4962152.85,9.10133531,0.001706548,487280701.8,4589991.387,8.687769578,0.004090943,1750087719,372161.4638,9.243059812,9.2354E-05,2.591702095,0.034596164,72.15675561,0.268193026
38,9/09/2019,7,ST,1,D,3,,23.41023302,5.713451286,0.547836988,4.700292733,0.687100959,0.360817166,0,0,0,0,,,,,,,,1607777778,12177950.12,9.206219793,0.003289551,1145555556,10606601.72,9.059006848,0.004021153,2753333333,1571348.403,9.439858757,0.000247855,1.403601133,0.02362643,58.39374932,0.408972671
39,9/09/2019,7,MT,1,P,4,14,24.84590991,13.51007115,0.468739754,8.536744805,1.033660239,0,0,0,0,0,0,0,0,0,0,3.709185653,0.537522202,424597752.1,15034520.63,8.627798547,0.015227084,1659668737,61285532.97,9.219826693,0.015873078,2084266489,76318328.62,9.31876176,0.015741134,0.255842229,0.000412615,20.37215755,0.026164126
