Samplenumber,Date,Day,Transit,Donor,Vessel,Ninetransit,Transitnumber,Acetate,Propionate,Isobutyrate,Butyrate,Isovalerate,Valerate,Isocaproate,Caproate,Heptanoate,Octanoic acid,O2 ,N2 ,H2,CO2,CH4,NH4+,Lactate,Intact_cells_events.ml,SD_intact_cells,log_intact,log_SD_intact,Damaged_cells_events.ml,SD_Damaged_cells,log_damaged,log_SD_damaged,Total_cells_events.ml,SD_total_cells,log_total,log_SD_total,Ratio_cells,SD_ratio,Percentage_intact_cells,SD_percentage_intact
177,21/09/2019,19,LT,1,D,3,,53.02778256,33.00933662,1.489105499,7.384151992,2.301014734,3.491645802,0,1.144770994,0.508503677,0,,,,,,,,2193853303,492534317.8,9.335664992,0.098333613,2232642777,579099074.3,9.34138904,0.113935773,4426496081,1071633392,9.639601471,0.106186099,0.987224818,0.035458722,49.67055522,0.898045253
83,2/09/2019,0,FS,2,FS,0,20,92.76273836,25.55058566,1.543897371,18.66627138,1.44116286,1.577832493,0,0,0,0,0,0,0,0,0,1.799157381,0,97122619048,13793549926,10.9845334,0.059528317,40416341991,5914381483,10.60360155,0.061281252,1.37539E+11,19707858103,11.13558977,0.060043393,2.403999262,0.009953119,70.62262268,0.086008622
84,3/09/2019,1,ST,2,P,1,21,53.46131008,5.124404488,0,0.534709907,0,0,0,0,0,0,0,0,0,0,0,2.811685792,3.851687389,3034905253,1557757649,9.451472928,0.233557734,947915558.5,343684925.6,8.962006274,0.161054454,3982820811,1901442575,9.573917274,0.215799722,3.108033321,0.516473692,75.46353701,3.084794268
85,3/09/2019,1,ST,2,D,1,22,77.19129653,9.500839901,0.277670072,6.226896108,0.17998853,0.324938989,0,0,0,0,0,0,0,0,0,7.057486557,0.64964476,6071742375,1194557833,9.777981611,0.082255968,854264705.9,222665971.9,8.922422322,0.107232412,6926007081,1416610668,9.834737142,0.085319726,7.179351639,0.428099761,87.75111514,0.658573021
86,3/09/2019,1,MT,2,P,1,23,66.15029162,8.111910235,0,1.386764321,0,0,0,0,0,0,0,0,0,0,0,3.732191363,2.260435169,3913222347,1404905853,9.571358831,0.171270037,1021660700,145014508.6,9.00620177,0.064570129,4934883047,1381418013,9.681321937,0.126441232,3.915095842,1.521406929,77.93993829,8.309578993
87,3/09/2019,1,MT,2,D,1,24,75.49748281,9.533998358,0.269117897,7.356719091,0.214622961,0.46840087,0,0,0,0,0,0,0,0,0,0.047674483,0.393428064,6295925856,330408690,9.798659668,0.022844651,871009816.2,50224792.06,8.939547328,0.024822196,7166935673,350274346.3,9.854984221,0.021385921,7.238941137,0.452165817,87.83825554,0.663449811
88,3/09/2019,1,LT,2,P,1,25,76.21641016,9.196430761,0.305281598,8.928559063,0.244136854,0.380651637,0,0,0,0,0,0,0,0,0,6.887299739,0,5371909198,214593635,9.729894085,0.017548548,721206743.6,40467407.16,8.857593427,0.024789142,6093115942,254784309,9.784582152,0.018383042,7.453255875,0.132220935,88.16831949,0.184046869
89,3/09/2019,1,LT,2,D,1,26,73.7458066,9.321476464,0.344553783,9.474355642,0.283245723,0.784069416,0,0,0,0,0,0,0,0,0,7.529796552,0,6513789474,201934810.2,9.813729346,0.013465775,989375000,883883.4765,8.995360846,0.000387988,7503164474,202818693.7,9.87516512,0.011740882,6.583653186,0.198221734,86.80923705,0.344780522
90,4/09/2019,2,ST,2,P,,,39.50298391,4.476293651,0,2.404746413,0,0,0,0,0,0,,,,,,,,1003521261,19264690.99,9.001472963,0.008368215,534629320,12491453.1,8.727973494,0.01017117,1538150581,31696058.75,9.186937112,0.008978809,1.877167214,0.009210999,65.24335327,0.111460069
91,4/09/2019,2,ST,2,D,,,64.78198205,10.4337827,0.927616347,5.793738492,1.032282607,1.415131811,0,0,0,0,,,,,,,,5154750000,109873254,9.712141287,0.009314865,733011111.1,3961712.008,8.865106328,0.002347714,5887761111,109608305.2,9.769899642,0.008129339,7.032478994,0.157982404,87.54730783,0.246760959
92,4/09/2019,2,MT,2,P,,,65.6617287,8.109602354,0,6.259817702,0.18329912,0.182027094,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
93,4/09/2019,2,MT,2,D,,,82.91699644,12.64239819,1.119959132,7.702013316,1.218687234,1.709060022,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
94,4/09/2019,2,LT,2,P,,,81.14896325,13.77062096,1.217079784,8.310624957,1.236054188,1.813047167,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
95,4/09/2019,2,LT,2,D,,,73.96327722,11.49595703,1.132298244,8.958025715,1.184312865,1.811722931,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
96,5/09/2019,3,ST,2,P,2,27,20.52732091,3.239536946,0.233957066,2.833428539,0.441699199,0,0,0,0,0,0,0,0,0,0,2.432230168,0,618135413,132381248.1,8.783712065,0.100461207,268326440.6,47229174.6,8.423796548,0.081202437,886461853.6,179575727.5,8.941110493,0.094543101,2.291959826,0.102026542,69.60318064,0.957257314
97,5/09/2019,3,ST,2,D,,,45.65684369,8.170601533,0.76645919,4.846995523,0.94559913,1.202549194,0,0,0,0,,,,,,,,2426572650,71206257.23,9.384899786,0.012745929,1114320513,39579848.8,9.046873104,0.015429067,3540893162,110786106,9.549006513,0.013590257,2.177864355,0.013455092,68.53204379,0.133235465
98,5/09/2019,3,MT,2,P,,,54.87469297,7.211261905,0.231088738,9.484246585,0.23947434,0.184020568,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
99,5/09/2019,3,MT,2,D,,,55.91019373,10.10855172,1.072034669,7.843744002,1.287147632,1.814465144,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
100,5/09/2019,3,LT,2,P,,,69.60839458,13.59963027,1.287010906,8.102631845,1.283208543,1.337328785,0,0,0,0,,,,,,,,1303900488,33957529.68,9.115170797,0.011311626,2071255189,60543535.93,9.316140823,0.012696392,3375155678,94501065.61,9.528208677,0.012161411,0.629551231,0.002007347,38.63336484,0.075593899
101,5/09/2019,3,LT,2,D,,,72.63069907,12.71284702,1.25769946,9.165227643,1.380708988,2.124698705,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
102,6/09/2019,4,ST,2,P,4,30,17.33531956,3.380747126,0.49510504,3.63345632,0.782481361,0,0,0,0,0,0,0,0,0,0,2.953600532,0,698765418.3,42498759.54,8.84379062,0.026608863,267618815,4131940.928,8.427482323,0.006677704,966384233.3,38967882.34,8.984913567,0.017561512,2.612863227,0.193329962,72.26714515,1.513490463
103,6/09/2019,4,ST,2,D,2,28,37.48090635,7.418699781,0.70693468,4.56920652,0.840546821,0.797637694,0,0,0,0,0,0,0,0,0,7.268972781,0,1681497545,68982982.21,9.225452066,0.017845755,974796586.4,58252911.35,8.988384594,0.026417165,2656294131,121865006.1,9.423966969,0.02014386,1.726780272,0.058820676,63.31523082,0.798345353
104,6/09/2019,4,MT,2,P,2,29,46.34456969,6.850188834,0,10.22695006,0.279246317,0.186087412,0,0,0,0,0,0,0,0,0,7.331614835,0,1490659341,243888788.9,9.169200991,0.075115152,854285714.3,146285283.4,8.927006573,0.078875875,2344945055,390060343.5,9.365807064,0.076467159,1.746681287,0.020117171,63.59112181,0.267267338
105,6/09/2019,4,MT,2,D,,,64.0989453,10.89732074,1.106901848,9.212013316,1.384634431,1.834714921,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
106,6/09/2019,4,LT,2,P,,,70.86028654,15.17634373,1.362235105,8.853661118,1.575823198,1.074566993,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
107,6/09/2019,4,LT,2,D,,,70.13584691,13.23677805,1.303826197,9.185673975,1.531797291,2.167986156,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
108,7/09/2019,5,ST,2,P,,,11.91676376,2.697410783,0.399045575,2.434712662,0.65489469,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
109,7/09/2019,5,ST,2,D,,,21.29427401,5.107827039,0.54719573,3.597553438,0.734910116,0.430931672,0,0,0,0,,,,,,,,1872855114,428623221.3,9.266741598,0.100274556,819872159.1,172096130.5,8.908908844,0.091839466,2692727273,600719351.8,9.424720404,0.09770244,2.279679062,0.044274312,69.50643314,0.411650552
110,7/09/2019,5,MT,2,P,,,33.98897104,6.101527641,0.22895167,10.15999059,0.507028973,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
111,7/09/2019,5,MT,2,D,,,42.30648467,8.683183908,1.004850189,8.956319596,1.365774548,1.679274399,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
112,7/09/2019,5,LT,2,P,,,51.57875224,12.85388998,1.220550568,7.990892205,1.593148621,0.801830515,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
113,7/09/2019,5,LT,2,D,,,59.80214496,13.30037384,1.303415222,9.113716221,1.611310195,2.136459409,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
114,8/09/2019,6,ST,2,P,,,15.71399797,3.300460044,0.448483527,2.434350362,0.718862454,0,0,0,0,0,,,,,,,,965117045.7,348255188.7,8.961364951,0.18248007,255783622.3,98780461.55,8.380681291,0.198465279,1220900668,446875285.6,9.062676953,0.185751606,3.81010732,0.159557524,79.19521528,0.688721959
115,8/09/2019,6,ST,2,D,3,33,27.64870483,5.970001095,0.579069912,3.434392377,0.698820726,0.267111638,0,0,0,0,0,0,0,0,0,6.227617939,0,1418894928,535428428.3,9.135911631,0.167948139,551193840.6,207261708.3,8.725383084,0.167325168,1970088768,742690136.6,9.278480066,0.167773809,2.573527245,0.003691578,72.01642901,0.028908003
116,8/09/2019,6,MT,2,P,,,38.69235461,7.075233169,0.512077144,11.10778097,0.986176802,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
117,8/09/2019,6,MT,2,D,2,32,56.41829975,10.54543897,1.081809666,10.42602342,1.433217838,1.561360427,0,0,0,0,0,0,0,0,0,13.28316426,0,1591363636,162466850.5,9.200288395,0.043719316,1796197358,249395610.4,9.251578546,0.060050369,3387560995,411170423.8,9.527780151,0.052232461,0.889102448,0.036553714,47.05170245,1.016004482
118,8/09/2019,6,LT,2,P,2,31,71.07124674,15.74439683,1.297634026,8.609736884,1.529061406,0.640724612,0,0,0,0,0,0,0,0,0,14.16403348,0,3808439153,348227925.2,9.579490342,0.040836766,1476587302,115323031.6,9.168354726,0.034529641,5285026455,457990783.4,9.721919395,0.038677221,2.578031331,0.084203002,72.04148571,0.64914755
119,8/09/2019,6,LT,2,D,,,71.65469196,14.9517838,1.351169785,9.208682815,1.708390389,2.072490062,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
120,9/09/2019,7,ST,2,P,3,,15.75496359,3.446599891,0.538258294,2.473618184,0.728412934,0,0,0,0,0,,,,,,,,1327344545,67882650.72,9.122699512,0.022220246,352529677.8,8941762.971,8.547125821,0.011016873,1679874223,58940887.74,9.225143064,0.015240996,3.76885389,0.288154034,78.99225051,1.26937581
121,9/09/2019,7,ST,2,D,3,,22.91613141,5.233993706,0.53062335,2.906011709,0.674340947,0.201444675,0,0,0,0,,,,,,,,1773155097,58271082.27,9.248629437,0.014274761,718255159.5,28576135.21,8.856106827,0.01728318,2491410256,86847217.48,9.396313277,0.01514199,2.46903826,0.017103238,71.17321635,0.14212335
122,9/09/2019,7,MT,2,P,4,34,30.10290872,6.928574165,0.910270003,11.93255332,1.389109859,0,0,0,0,0,0,0,0,0,0,8.456122845,0,,,,,,,,,,,,,,,,
123,9/09/2019,7,MT,2,D,,,49.54999052,10.05350684,1.075754334,10.91979474,1.43083892,1.165123504,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
124,9/09/2019,7,LT,2,P,,,67.5932359,14.80483333,1.104008725,8.785064631,1.290292693,0.52159735,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
125,9/09/2019,7,LT,2,D,,,74.6146171,16.09287904,1.447459993,9.546855011,1.824063285,2.049487986,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
126,10/09/2019,8,ST,2,P,3,,17.35463336,3.953097975,0.504145563,2.914213753,0.669583309,0,0,0,0,0,,,,,,,,1720634866,40616174.69,9.235628212,0.010252622,462168268.1,34696116.88,8.664187353,0.03263424,2182803134,5920057.803,9.33901377,0.001177867,3.736790725,0.368411927,78.82461267,1.646951642
127,10/09/2019,8,ST,2,D,3,,22.6897348,5.589782157,0.525960051,3.019898978,0.676620983,0.228474834,0,0,0,0,,,,,,,,1988754862,24266655.85,9.298565088,0.005299364,794978837.8,43900961.51,8.900024214,0.02399516,2783733699,68167617.35,9.444562571,0.010635996,2.504621192,0.1077873,71.45274404,0.877992651
128,10/09/2019,8,MT,2,P,,,34.72270821,8.163801861,0.919208587,12.36367673,1.368498962,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
129,10/09/2019,8,MT,2,D,,,49.31410737,10.51888807,1.078976926,11.8391342,1.456725205,0.847542173,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
130,10/09/2019,8,LT,2,P,,,69.0363492,14.71291516,0.95333693,9.463843416,1.112717097,0.442318204,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
131,10/09/2019,8,LT,2,D,,,73.88397832,16.91494937,1.500916542,9.951615888,1.94791595,2.043507762,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
132,11/09/2019,9,ST,2,P,3,,16.74797629,4.078462233,0.494093675,3.471242796,0.706085039,0,0,0,0,0,,,,,,,,1273681319,62707161.8,9.104797449,0.021390268,418021978,7770404.189,8.621161597,0.008073351,1691703297,70477565.99,9.228135672,0.018098254,3.046056322,0.093387609,75.2779902,0.57061227
133,11/09/2019,9,ST,2,D,3,,25.78316681,5.90298659,0.538478016,3.238849041,0.691735983,0,0,0,0,0,,,,,,,,1798726625,34542943.12,9.254925118,0.008340752,738126461,18943784.06,8.868059248,0.011147255,2536853086,53486727.18,9.404247047,0.009157295,2.437083469,0.015748846,70.90526004,0.133313194
134,11/09/2019,9,MT,2,P,,,36.08686943,8.841139847,0.965088738,12.71906486,1.427271631,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
135,11/09/2019,9,MT,2,D,,,47.82904081,10.75173727,1.055312134,12.39211227,1.423669336,0.582212202,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
136,11/09/2019,9,LT,2,P,,,69.44323285,13.92772195,0.691735048,8.576677534,0.82175932,0.330554929,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
137,11/09/2019,9,LT,2,D,2,35,76.54502286,18.05311713,1.519959591,10.15083595,2.007088698,1.785022842,0,0,0,0,0,0,0,0,0,12.03032319,0,2969783764,176552168.6,9.472340764,0.025833815,1452383621,37994797.99,9.162007026,0.011362572,4422167385,214546966.6,9.645379463,0.02107861,2.04387474,0.0680919,67.13891472,0.735107037
138,12/09/2019,10,ST,2,P,3,,15.0767492,3.569529283,0.491812191,3.898447021,0.713275981,0,0,0,0,0,,,,,,,,1056034124,598335027.5,8.985685633,0.260665064,331480046.3,178646499.9,8.486383054,0.246490098,1387514170,776981527.4,9.105205471,0.257255209,3.158044415,0.103057323,75.94284371,0.59625773
139,12/09/2019,10,ST,2,D,3,,24.52334462,5.6328711,0.541731833,3.430541384,0.69355839,0,0,0,0,0,,,,,,,,1474231938,39083479.79,9.168489493,0.011514964,656142155.7,25314984.88,8.816836265,0.016759915,2130374094,13768494.91,9.328451337,0.002806842,2.249641299,0.146360228,69.19613003,1.387372022
140,12/09/2019,10,MT,2,P,,,35.71361592,8.709694581,0.970400184,11.63933877,1.383240977,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
141,12/09/2019,10,MT,2,D,,,46.1658022,10.88230761,1.076319366,12.52398071,1.48632651,0.434843667,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
142,12/09/2019,10,LT,2,P,4,36,68.388716,12.82633525,0.489346344,7.369528642,0.6859646,0.229364185,0,0,0,0,0,0,0,0,0,8.498530961,0,1846630435,178687420.5,9.265062628,0.041126909,1211050725,160468445.8,9.080716031,0.055897848,3057681159,339146483.3,9.483668183,0.046998534,1.529372429,0.05157441,60.45342175,0.815085461
143,12/09/2019,10,LT,2,D,,,79.61425809,19.47518692,1.600929629,10.37812559,2.159711658,1.488890537,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
144,13/09/2019,11,MT,2,P,3,,36.2301453,9.497934592,0.963741935,10.66432511,1.383749036,0,0,0,0,0,,,,,,,,2030498168,14380428.02,9.307597156,0.003075793,798564102.6,13997088.08,8.902276425,0.007612625,2829062271,383339.94,9.451642505,5.88472E-05,2.543234998,0.062585223,71.77280025,0.498585498
145,13/09/2019,11,MT,2,D,3,37,44.31216732,9.996764915,1.03371668,11.80403054,1.492315436,0.339188569,0,0,0,0,0,0,0,0,0,11.47874051,0,1825257371,73608896.04,9.261086006,0.017662439,1490700900,52498154.94,9.17321307,0.015159787,3315958271,120141154,9.520418991,0.015737026,1.224495339,0.029618012,55.04069674,0.595621217
146,13/09/2019,11,LT,2,P,,,62.30476884,12.43772934,0.37271978,6.672270922,0.705845545,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
147,13/09/2019,11,LT,2,D,,,70.39088298,18.58131117,1.561777523,9.5719038,2.149468803,1.079482448,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
148,14/09/2019,12,MT,2,P,3,,32.06303099,8.184415709,0.936415796,9.800614625,1.446886384,0,0,0,0,0,,,,,,,,1270555414,40033872.44,9.103885791,0.01368643,926353421.9,63011231.45,8.966273778,0.029563837,2196908836,103045103.9,9.341573038,0.020377878,1.373273732,0.050194446,57.85468422,0.891368213
149,14/09/2019,12,MT,2,D,3,,43.19259746,11.17781527,1.072886006,11.71088692,1.488849995,0.284795016,0,0,0,0,,,,,,,,1479888889,359681649.4,9.163718875,0.106611723,1200944444,306805775.6,9.072318649,0.112180441,2680833333,666487425,9.421453222,0.109104167,1.234292463,0.015826217,55.24197911,0.31703555
150,14/09/2019,12,LT,2,P,,,59.75857307,12.07205774,0.306947997,4.717555505,0.541121527,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
151,14/09/2019,12,LT,2,D,,,68.07652159,18.71338123,1.52896889,8.81947882,2.118895877,0.784701078,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
152,15/09/2019,13,MT,2,P,3,,29.28703641,7.583638205,0.859640914,8.448764321,1.404040146,0,0,0,0,0,,,,,,,,909239332.1,224463766.7,8.951958312,0.108323587,759944341.4,299661096.4,8.863207518,0.175908075,1669183673,524124863.1,9.211526281,0.138678401,1.234169651,0.19128883,55.07597883,3.8463791
153,15/09/2019,13,MT,2,D,3,,42.34931922,11.14416174,1.042737688,11.06345517,1.479025611,0.255653318,0,0,0,0,,,,,,,,2261893014,272172205.2,9.352894286,0.05238505,1689614069,240347218.5,9.225579341,0.061987913,3951507084,512519423.6,9.594928541,0.056487714,1.340812427,0.029644836,57.27636322,0.54106651
154,15/09/2019,13,LT,2,P,,,54.11156816,11.30890832,0,2.531932958,0.379069514,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
155,15/09/2019,13,LT,2,D,,,72.66801626,20.69931582,1.60579038,8.41041901,2.231017304,0.587359241,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
156,16/09/2019,14,MT,2,P,3,,30.59575106,7.965504926,0.931438182,8.593106876,1.438834372,0,0,0,0,0,,,,,,,,911289455.2,235018354.6,8.952312245,0.113269966,632839607.2,143932684.7,8.795603371,0.099640747,1544129062,378951039.3,9.182043933,0.107671616,1.434880701,0.045022661,58.92320383,0.759538924
157,16/09/2019,14,MT,2,D,3,,44.08653412,11.53362507,1.057246929,10.66447825,1.478518145,0.22047701,0,0,0,0,,,,,,,,1646898668,104293291.6,9.216231026,0.027521008,1194649369,56380112.92,9.076998502,0.020503646,2841548036,160673404.5,9.453207586,0.024569985,1.378036976,0.022265455,57.9466659,0.393743499
158,16/09/2019,14,LT,2,P,,,48.32553057,11.74211248,0,1.307732522,0.297573223,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
159,16/09/2019,14,LT,2,D,,,69.82650229,20.81018774,1.511540351,7.291007232,2.184255315,0.44059646,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
160,17/09/2019,15,MT,2,P,3,,27.74682879,7.839948002,0.919686833,8.129733211,1.351007021,0,0,0,0,0,,,,,,,,1104603960,49077411.25,9.042992164,0.019302,780643564.4,36755550.51,8.892211957,0.020455731,1885247525,85832961.76,9.275143204,0.01977972,1.415079938,0.003759246,58.59345293,0.064452269
161,17/09/2019,15,MT,2,D,3,,41.54918713,11.50249973,1.059761681,9.927980484,1.427532285,0.236238307,0,0,0,0,,,,,,,,2021645545,225207208.9,9.30435347,0.048479959,1739319802,150924591.3,9.239560403,0.037732082,3760965347,376131800.2,9.574210668,0.043506141,1.161073093,0.028731189,53.72260255,0.61525206
162,17/09/2019,15,LT,2,P,3,,47.12723082,13.46034565,0.250320744,0.797239353,0.288775635,0,0,0,0,0,,,,,,,,1687566481,55724562.23,9.227142474,0.014343298,1405588023,29472986.11,9.147810306,0.009107145,3093154504,26251576.12,9.490393793,0.003685898,1.201292187,0.064834239,54.5524248,1.338558771
163,17/09/2019,15,LT,2,D,3,,67.5705873,21.05517625,1.482202503,6.345869361,2.108442599,0.379781469,0,0,0,0,,,,,,,,1701442857,52548135.37,9.23071378,0.013415081,2071730612,82971043.86,9.316159068,0.017397775,3773173469,135519179.2,9.576566667,0.015601692,0.821417295,0.007532695,45.0972298,0.227057154
164,18/09/2019,16,LT,2,P,3,,45.14149196,15.30439163,0,0.898683963,0.33762741,0,0,0,0,0,,,,,,,,1928366935,18219404.56,9.285179984,0.004103319,1281788856,24385852.63,9.10777719,0.00826289,3210155792,6166448.066,9.506525709,0.000834245,1.504841701,0.042843447,60.07147682,0.68294757
165,18/09/2019,16,LT,2,D,3,38,68.42898256,22.1792006,1.536239927,5.776405924,2.080972807,0.293499258,0,0,0,0,0,0,0,0,0,19.0079827,0,1970688933,130608476.6,9.293994291,0.028369553,1935149369,127816020.4,9.286086565,0.028561415,3905838302,256863286,9.591096426,0.028276736,1.018449912,0.01509614,50.45517797,0.371783472
166,19/09/2019,17,LT,2,P,3,,48.13256935,18.48924959,0,1.372086328,0.389583704,0,0,0,0,0,,,,,,,,2093956044,129843454,9.320549685,0.026947306,1609821429,63892148.44,9.20660661,0.017241226,3703777473,193735602.4,9.568347616,0.022727257,1.300161505,0.029054988,56.5213232,0.549210317
167,19/09/2019,17,LT,2,D,3,,68.28335072,23.91225534,1.495728849,5.606346688,2.127160289,0.27656284,0,0,0,0,,,,,,,,2012826087,10760320.58,9.30380315,0.002321696,2313478261,6148754.619,9.364264656,0.001154268,4326304348,4611565.964,9.636116945,0.00046293,0.870052479,0.006963567,46.52519411,0.199125625
168,20/09/2019,18,LT,2,P,3,,43.66542015,17.36774631,0.239726553,1.182665366,0.393776525,0,0,0,0,0,,,,,,,,2627892583,460020885.3,9.41625477,0.076416506,2212409207,379096040.7,9.34165402,0.0747837,4840301790,839116925.9,9.68158462,0.07567005,1.187414326,0.004464281,54.28382859,0.093301858
169,20/09/2019,18,LT,2,D,3,,65.65154953,22.99804379,1.436191482,5.421111927,2.115127262,0.276385049,0,0,0,0,,,,,,,,1768894737,424189636.4,9.241366791,0.105161706,2038000000,454036985.8,9.303747306,0.097567052,3806894737,878226622.2,9.574714355,0.101092133,0.866268827,0.015147963,46.41538629,0.434930786
170,21/09/2019,19,LT,2,P,3,,43.39533311,20.2803815,0,1.104165538,0.402043113,0,0,0,0,0,,,,,,,,1871421053,848453705.1,9.248622434,0.204092313,1876894737,844583225.9,9.250260492,0.202455534,3748315789,1693036931,9.550472617,0.20327238,0.996238874,0.003754639,49.90570609,0.094220191
171,21/09/2019,19,LT,2,D,3,,64.74265843,24.11399015,1.430951211,5.39044748,2.073794324,0.281033323,0,0,0,0,,,,,,,,1981684211,584888956.5,9.287364224,0.130092107,2151210526,599700982.7,9.324076828,0.122675653,4132894737,1184589939,9.60714624,0.12622724,0.919007503,0.015693143,47.88798703,0.426158447
200,8/10/2019,0,FS,3,FS,0,40,68.86262489,12.74434045,1.348284927,12.90858455,1.299333531,2.345808365,0,3.018096396,0.715356507,0,,,,,,1.576306891,,42102777778,20635238020,10.58466562,0.234865058,5986388889,2669337768,9.742340441,0.222976125,48089166667,23275733116,10.64308286,0.233251572,6.966841878,0.489540692,87.41659441,0.766481006
201,9/10/2019,1,ST,3,P,1,41,41.7574967,2.812042967,0,0.283623235,0,0,0,0,0,0,,,,,,1.449636898,,2826422370,51985710.5,9.451200329,0.007988325,2051656027,32691951.67,9.312076981,0.006920524,4878078396,84677662.16,9.688216057,0.007539216,1.37760276,0.003387111,57.94078676,0.059917176
202,9/10/2019,1,ST,3,D,1,42,45.42255986,8.335628626,0,1.012265412,0,0,0,0,0,0,,,,,,-0.009146848,,3569014085,NA,9.552548262,NA,1136478873,NA,9.055561367,NA,4705492958,NA,9.672605128,NA,3.14041393,NA,75.84782544,NA
203,9/10/2019,1,MT,3,P,1,43,42.36672379,4.602816913,0,0.339944668,0,0,0,0,0,0,,,,,,1.741781695,,2899076903,340772465.2,9.460224999,0.051707528,1167456990,127660138.9,9.065502388,0.047644351,4066533893,468068154.3,9.607280446,0.050495461,2.481706994,0.034407646,71.27658142,0.284563223
204,9/10/2019,1,MT,3,D,1,44,42.685579,11.90576464,0.648636666,1.029423717,0.797052704,0,0.753683891,0,0,0,,,,,,5.005820722,,3586000000,NA,9.554610285,NA,2195571429,NA,9.341547571,NA,5781571429,NA,9.762045896,NA,1.633287787,NA,62.02465963,NA
205,9/10/2019,1,LT,3,P,1,45,44.60813446,5.690385605,0,0.347544254,0,0,0,0,0,0,,,,,,1.68135706,,,,,,,,,,,,,,,,,
206,9/10/2019,1,LT,3,D,1,46,46.89024589,7.46683087,0.386182528,5.438773734,0.525686938,0.173400376,0.567183673,0,0,0,,,,,,4.560674095,,,,,,,,,,,,,,,,,
207,10/10/2019,2,ST,3,P,,,19.91654835,4.425237274,0,0.719654689,0,0,0,0,0,0,,,,,,,,655405982.9,2145494.934,8.816509238,0.001421681,527162393.2,23183432.59,8.721734333,0.019105468,1182568376,21037937.65,9.072791896,0.007726523,1.244564521,0.05880308,55.43263401,1.16757544
208,10/10/2019,2,ST,3,D,,,36.66412566,8.064925287,0,4.27493468,0.227840601,0,0,0,0,0,,,,,,,,2679090909,NA,9.427987451,NA,1280227273,NA,9.107287075,NA,3959318182,NA,9.597620404,NA,2.092668205,NA,67.66546122,NA
209,10/10/2019,2,MT,3,P,,,32.3725619,4.746358238,0,4.100775571,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
210,10/10/2019,2,MT,3,D,,,54.55242506,12.466104,0.811757318,3.99291792,0.996695343,0.251955503,0.297367607,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
211,10/10/2019,2,LT,3,P,,,42.46255174,4.995462507,0,9.081524968,0.168660536,0.157460892,0,0,0,0,,,,,,,,1105111111,NA,9.043405945,NA,2412444444,NA,9.382457321,NA,3517555556,NA,9.546240965,NA,0.458087693,NA,31.41701939,NA
212,10/10/2019,2,LT,3,D,,,52.78857003,4.792827313,0.520518655,9.81059511,0.745380599,1.673618115,0.241611984,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
213,11/10/2019,3,ST,3,P,2,47,14.28807519,5.191888615,0.23657766,2.241488463,0.423961238,0.235062395,0,0.117608163,0,0,,,,,,1.50340928,,,,,,,,,,,,,,,,,
